1	0.0274311	0	0.0397121	0.1451717	0.085058	0.0602	0.0065275	0	0	0	0	0	0.189671	0	0.0592936	0.0183359	0.0023344	0	0.0159756	0	0.0104364	0.0408623	0	0.0009791	0.0220313	0.0021402	0	0	0	0	0.2024511	0.0327171	0	0.0206569	0.0135933	0.0044214
1	0	0	0.0036316	0.2860243	0.1390261	0.0036938	0.0698494	0.0016269	0.0198523	0	0.023974	0	0.0089291	0	0	0	0	0	0	0.0263424	0	0.0070023	0.0097975	0.0010272	0	0	0	0	0	0.0282507	0.3554547	0	0.0155177	0	0	0
1	0	0	0.023398	0.2065001	0.1465353	0.0178813	0.0350406	0	0	0	0.0892278	0.019778	0.0940352	0	0	0	0	0	0	0	0	0	0.0020433	0	0.0254557	0	0	0	0	0	0.3401046	0	0	0	0	0
1	0.0259027	0	0	0.3306572	0.11344	0.0191971	0	0	0.0028505	0	0	0	0.0348294	0	0	0	0	0	0	0.1139067	0	0.0281651	0.0108452	0.0194869	0.0081941	0	0	0	0	0	0.2225889	0	0	0	0.069936	0
1	0	0.0269141	0.0201461	0.2095253	0.1280196	0.13079	0	0.020293	0.0074348	0	0.0250061	0	0.0266981	0	0	0	0.0238747	0.0069866	0	0.0081677	0	0	0	0.00452	0.02481	0	0.0271321	0	0	0	0.2438584	0	0.058958	0.0068653	0	0
1	0	0	0	0.3356216	0.1828124	0	0.0220308	0	0.0277409	0	0.0555934	0	0.0510212	0	0	0.0188728	0	0	0	0	0	0	0	0	0.0214318	0	0	0	0	0.0268862	0.2488166	0	0	0.0091724	0	0
1	0	0	0.0139137	0.0764132	0.3848887	0	0	0	0.0289439	0	0.0558881	0	0.0775636	0.0272078	0	0	0	0	0	0.0257757	0	0	0.0049671	0	0	0	0	0	0	0	0.3044384	0	0	0	0	0
1	0	0	0	0.225918	0.0930382	0.0310366	0	0	0.0025589	0.0571772	0.0556211	0	0.0121724	0	0	0	0	0.0004082	0.0069939	0.0112241	0	0.0165172	0	0	0	0	0	0	0	0.0420507	0.4452835	0	0	0	0	0
1	0.0045127	0	0.0510738	0.0905982	0.1995455	0.0677361	0.0314396	0	0.0024243	0	0.0143743	0	0.0458633	0	0	0	0	0	0	0.0019929	0	0	0	0	0	0	0	0.0111019	0	0	0.4332428	0.0145698	0.0103267	0	0.021198	0
1	0.0186328	0.0130575	0.0179779	0.1660379	0.0568693	0	0	0	0	0	0	0	0.0554104	0.0151176	0	0	0	0	0	0.0122051	0	0.0180376	0.005545	0	0.010254	0	0.0165592	0	0	0	0.5494864	0	0.0448092	0	0	0
1	0.0267447	0	0	0.1870025	0.0791324	0	0.058594	0	0	0.0135815	0	0	0.0484037	0	0	0	0	0.034848	0	0.0114326	0	0	0	0.0018102	0	0	0	0	0	0	0.5384503	0	0	0	0	0
1	0.0361046	0	0	0.2111995	0.1270293	0	0	0	0.0502167	0	0	0	0.0533504	0	0	0	0	0.0363046	0.0019902	0.021164	0	0	0	0	0.0474658	0	0	0	0	0	0.4089959	0	0	0	0	0.0061791
1	0.0158789	0.0021501	0	0.3274767	0.0568483	0.0449704	0	0	0.0014473	0	0.0039476	0	0.0464347	0	0.0080847	0	0.0142409	0	0.002808	0.0023565	0	0	0.0222055	0	0.0326157	0	0	0	0	0.0197508	0.3970002	0	0	0	0	0.0017836
1	0	0.0055789	0.0442156	0.0859875	0.2296511	0.0696958	0.0290788	0	0.0533879	0	0.1881099	0	0.001637	0	0	0	0.0139723	0	0	0.0016045	0.0342832	0	0	0	0	0	0	0	0	0.0299446	0.1116773	0	0.1011755	0	0	0
1	0.0413943	0.0081055	0	0.2384917	0.1233209	0.03782	0	0	0	0	0.0310788	0	0.0260267	0	0.0012256	0	0	0	0	0.0017129	0	0	0.0531026	0.0110649	0.0333944	0	0	0	0	0	0.3839919	0	0	0.0092698	0	0
1	0	0	0.0119567	0.2007668	0.1159033	0.0526708	0.0313179	0	0	0	0.0160252	0	0.0330795	0	0	0	0.002637	0.0098448	0	0.0156896	0	0.0017756	0	0.018776	0	0	0	0	0.0022107	0.0087708	0.4572904	0.0060013	0	0.0096847	0.0055988	0
1	0	0	0	0.4139688	0.1557335	0.0300364	0.1045204	0.0181298	0	0	0	0	0	0	0	0	0	0	0	0.0063579	0.0079823	0	0	0.0252008	0	0	0	0.010535	0.016443	0	0.2110921	0	0	0	0	0
2	0	0	0.0524324	0.6119847	0	0.0360216	0.0134772	0.0175864	0.0161123	0	0	0	0.0589458	0	0	0.0103922	0.0040839	0.0065937	0.0074309	0	0	0	0	0	0	0	0	0	0.0309293	0.0009996	0.13301	0	0	0	0	0
2	0	0.0029809	0.0001895	0.2372805	0.1825355	0.0323496	0	0	0	0	0.0304626	0	0.049618	0	0	0	0	0	0	0.00572	0.0076321	0	0	0	0.0059121	0	0.0112903	0	0	0	0.4340288	0	0	0	0	0
2	0	0.005833	0	0.2730645	0.2594553	0.0669436	0.0157492	0	0.0079524	0	0.0071007	0	0.0005908	0	0	0	0	0.0038221	0.0077131	0	0	0	0.002153	0	0.0163609	0	0.0043277	0	0.0161914	0	0.311215	0.000335	0	0	0	0.0011922
2	0	0.0090595	0	0.3159041	0.0723062	0.0456793	0	0	0.0017461	0	0.0333983	0.0021292	0.0021699	0	0	0	0.0039166	0	0.001623	0.0063034	0	0.0319349	0	0	0	0	0	0.0076958	0	0.0130119	0.453122	0	0	0	0	0
2	0.0666125	0.0672937	0	0.0591392	0	0	0.0616386	0	0	0	0	0	0.0075099	0	0	0	0	0	0	0.0475172	0	0	0	0	0	0	0	0	0	0	0.674816	0	0.0143057	0.0011672	0	0
2	0	0	0	0.299869	0.0920498	0.0033625	0.0130237	0	0	0	0	0	0.0210711	0	0	0	0	0.0018924	0	0.4649236	0	0	0	0	0	0	0	0	0	0	0.0781618	0.025646	0	0	0	0
2	0	0	0	0.3711972	0.1139317	0	0.1101275	0	0	0	0.0865013	0	0.0054242	0.0141321	0	0	0	0	0	0.0067127	0	0	0	0	0	0	0	0	0	0	0.2919732	0	0	0	0	0
2	0	0	0.0074903	0.1088529	0.0952794	0.0133545	0.013332	0.0054123	0.0059876	0.0059291	0.0302439	0	0.0289017	0.0069861	0	0	0	0	0	0.0150416	0	0	0	0	0.039135	0	0	0	0.0046429	0.0074691	0.5957903	0	0	0.0142501	0	0.0019014
2	0.0236236	0	0.0153268	0.2643825	0.0855396	0	0	0.0035812	0.0143885	0.0254382	0.0031721	0	0.0376852	0	0	0.016918	0	0.0121566	0	0.0479856	0	0.0079588	0	0	0.0176963	0	0	0.0010623	0	0	0.3759634	0	0.0471214	0	0	0
3	0	0.029365	0.0161809	0.3624786	0.2597372	0.0157581	0.0079865	0	0	0	0	0	0.0248105	0	0	0	0	0.0083014	0.0139307	0.0115597	0	0	0	0	0.0095125	0.0184417	0	0.0046061	0	0	0.1882511	0.0087595	0	0	0	0.0203204
3	0	0	0.0071177	0.1565194	0.2186592	0.0238051	0.0356556	0.0212904	0.0061125	0	0.0184794	0	0.1362643	0	0.0122441	0	0.0106873	0.0078822	0.060871	0.0757937	0	0	0	0.0012011	0.0680719	0.0122116	0.0063933	0	0.0361366	0	0.0638646	0	0	0.0031501	0	0.0175889
3	0	0.0367328	0	0.1939751	0.2495405	0	0.0274483	0.0172419	0.0025468	0	0.032679	0	0	0	0.0001561	0	0	0.0187371	0.0117456	0.0144121	0	0	0.0175767	0.0055737	0.0269066	0	0	0	0	0	0.2819715	0.0067442	0	0	0.056012	0
